scenario,n_items,n_trials,tail_q,mc_reps,metric,estimator,estimand,truth,estimate_mean,bias,rmse,estimate_sd,negative_rate
sparse_collapse,300,20,0.1,36,ins,raw,latent_metric,0.055,0.13733796296296297,0.08233796296296297,0.0824754967352631,0.0048285667976350885,0.0
sparse_collapse,300,20,0.1,36,ins,adjusted,latent_metric,0.055,0.05098408564814815,-0.004015914351851856,0.006566618450360956,0.0052691684149632,0.0
sparse_collapse,300,20,0.1,36,wtd,raw,oracle_tail,0.5500000000000002,0.550324074074074,0.00032407407407392737,0.02611849777314778,0.026486952296844352,0.0
sparse_collapse,300,20,0.1,36,wtd,adjusted,oracle_tail,0.5500000000000002,0.3445273919753086,-0.2054726080246915,0.20721019108065147,0.027158025917958104,0.0
sparse_collapse,300,20,0.1,36,wtd,split_oracle_comparison,oracle_tail,0.5500000000000002,0.45140625,-0.09859375000000015,0.10506391575980367,0.03681504304568266,0.0
sparse_collapse,300,20,0.1,36,wtd,split,noisy_selected_set,0.4550178433641976,0.45140625,-0.0036115933641975542,0.022262558298421893,0.03681504304568266,0.0
floor,300,20,0.1,36,signed,signed,latent_metric,-0.01543590901034913,-0.015032407407407408,0.00040350160294172266,0.0037704836896794765,0.0038020085427883554,1.0
floor,300,20,0.1,36,ins,raw,latent_metric,0.01543590901034913,0.06113425925925927,0.04569835024891013,0.045796308801036696,0.0030362412655992434,0.0
floor,300,20,0.1,36,ins,adjusted,latent_metric,0.01543590901034913,0.010348668981481483,-0.0050872400288676485,0.005874526217065967,0.0029793656942019167,0.0
floor,300,20,0.1,36,wtd,raw,oracle_tail,0.08000000000000002,0.15740740740740744,0.07740740740740742,0.07825744945410457,0.01166628873159583,0.0
floor,300,20,0.1,36,wtd,adjusted,oracle_tail,0.08000000000000002,0.010924961419753102,-0.06907503858024693,0.0698694381093722,0.010655095852414033,0.1111111111111111
floor,300,20,0.1,36,wtd,split_oracle_comparison,oracle_tail,0.08000000000000002,0.023781828703703704,-0.05621817129629631,0.05729214570272983,0.011197778238347033,0.027777777777777776
floor,300,20,0.1,36,wtd,split,noisy_selected_set,0.026035541159584587,0.023781828703703704,-0.002253712455880882,0.010645171695798473,0.011197778238347033,0.027777777777777776
ceiling,300,20,0.1,36,signed,signed,latent_metric,-0.003839458627029488,-0.0043240740740740705,-0.00048461544704458243,0.00487373418603751,0.004918372495760632,0.7777777777777778
ceiling,300,20,0.1,36,ins,raw,latent_metric,0.03616054137297049,0.07025925925925926,0.03409871788628875,0.03437103881304957,0.004379324519278045,0.0
ceiling,300,20,0.1,36,ins,adjusted,latent_metric,0.03616054137297049,0.021010706018518517,-0.015149835354451975,0.015832402315458422,0.00466386799989354,0.0
ceiling,300,20,0.1,36,wtd,raw,oracle_tail,0.07999999999999999,0.18768518518518518,0.10768518518518522,0.10866544534646551,0.014769540609172531,0.0
ceiling,300,20,0.1,36,wtd,adjusted,oracle_tail,0.07999999999999999,0.04361786265432101,-0.03638213734567899,0.03938196143512435,0.015289625680702395,0.0
ceiling,300,20,0.1,36,wtd,split_oracle_comparison,oracle_tail,0.07999999999999999,0.05150270061728395,-0.02849729938271604,0.033495363371534234,0.017852057608647887,0.0
ceiling,300,20,0.1,36,wtd,split,noisy_selected_set,0.052361882716049364,0.05150270061728395,-0.0008591820987654061,0.015652985996758316,0.017852057608647887,0.0
