scenario,n_items,n_trials,tail_q,mc_reps,metric,estimator,estimand,truth,estimate_mean,bias,rmse,estimate_sd,negative_rate
diffuse,300,5,0.2,12,wtd,adjusted,oracle_tail,0.08000000000000002,0.1387847222222223,0.05878472222222227,0.06291133930106979,0.023406130803169622,0.0
diffuse,300,5,0.2,12,wtd,split_oracle_comparison,oracle_tail,0.08000000000000002,0.08750964506172838,0.007509645061728377,0.030640244953392546,0.031026613359573442,0.0
diffuse,300,5,0.2,12,wtd,split,noisy_selected_set,0.07999999999999997,0.08750964506172838,0.007509645061728405,0.030640244953392556,0.031026613359573442,0.0
diffuse,300,10,0.05,12,signed,signed,latent_metric,-0.07999999999999997,-0.08497222222222223,-0.004972222222222252,0.01049823618342449,0.009657214117528122,1.0
diffuse,300,10,0.05,12,ins,raw,latent_metric,0.07999999999999997,0.17575,0.09575000000000002,0.09588201661996433,0.0052534260105653804,0.0
diffuse,300,10,0.05,12,ins,adjusted,latent_metric,0.07999999999999997,0.030927083333333327,-0.04907291666666664,0.04942372982776033,0.006139640491148481,0.0
diffuse,300,10,0.05,12,wtd,raw,oracle_tail,0.08000000000000004,0.49666666666666665,0.4166666666666666,0.4175945224559167,0.029059326290271137,0.0
diffuse,300,10,0.05,12,wtd,adjusted,oracle_tail,0.08000000000000004,0.09185185185185181,0.011851851851851766,0.02952448067024606,0.02824365222062198,0.0
diffuse,300,10,0.05,12,wtd,split_oracle_comparison,oracle_tail,0.08000000000000004,0.07884259259259259,-0.0011574074074074462,0.03437530396423783,0.03588347703929317,0.0
diffuse,300,10,0.05,12,wtd,split,noisy_selected_set,0.07999999999999997,0.07884259259259259,-0.0011574074074073976,0.034375303964237824,0.03588347703929317,0.0
diffuse,300,10,0.1,12,signed,signed,latent_metric,-0.07999999999999997,-0.08016666666666666,-0.00016666666666669805,0.011133033928109824,0.01162677161476126,1.0
diffuse,300,10,0.1,12,ins,raw,latent_metric,0.07999999999999997,0.17488888888888887,0.09488888888888893,0.09513080663155536,0.007081535719612537,0.0
diffuse,300,10,0.1,12,ins,adjusted,latent_metric,0.07999999999999997,0.02861226851851854,-0.05138773148148144,0.05195951501398641,0.008028964860882155,0.0
diffuse,300,10,0.1,12,wtd,raw,oracle_tail,0.08000000000000003,0.43583333333333335,0.3558333333333334,0.35630173438523416,0.019075871903765987,0.0
diffuse,300,10,0.1,12,wtd,adjusted,oracle_tail,0.08000000000000003,0.09302083333333326,0.01302083333333324,0.02353784247317875,0.02048026795628334,0.0
diffuse,300,10,0.1,12,wtd,split_oracle_comparison,oracle_tail,0.08000000000000003,0.0754861111111111,-0.004513888888888919,0.02732760215434521,0.028150685054249905,0.0
diffuse,300,10,0.1,12,wtd,split,noisy_selected_set,0.07999999999999997,0.0754861111111111,-0.004513888888888879,0.027327602154345203,0.028150685054249905,0.0
diffuse,300,10,0.2,12,signed,signed,latent_metric,-0.07999999999999997,-0.0835,-0.0035000000000000296,0.010570749298925831,0.010418030213785788,1.0
diffuse,300,10,0.2,12,ins,raw,latent_metric,0.07999999999999997,0.17694444444444443,0.09694444444444449,0.09743164745566982,0.010164141100445445,0.0
diffuse,300,10,0.2,12,ins,adjusted,latent_metric,0.07999999999999997,0.03130439814814815,-0.04869560185185184,0.04999334076667984,0.011820128347217206,0.0
diffuse,300,10,0.2,12,wtd,raw,oracle_tail,0.08000000000000002,0.3709722222222222,0.2909722222222222,0.29166150789088563,0.020931083807587923,0.0
diffuse,300,10,0.2,12,wtd,adjusted,oracle_tail,0.08000000000000002,0.10020254629629627,0.020202546296296253,0.029356654973436976,0.022246641774158638,0.0
diffuse,300,10,0.2,12,wtd,split_oracle_comparison,oracle_tail,0.08000000000000002,0.0807523148148148,0.0007523148148147994,0.023531797614529865,0.02456559726100201,0.0
diffuse,300,10,0.2,12,wtd,split,noisy_selected_set,0.07999999999999997,0.0807523148148148,0.0007523148148148272,0.023531797614529865,0.02456559726100201,0.0
diffuse,300,20,0.05,12,signed,signed,latent_metric,-0.07999999999999997,-0.07718055555555554,0.0028194444444444174,0.006257033079899996,0.005834181035086962,1.0
diffuse,300,20,0.05,12,ins,raw,latent_metric,0.07999999999999997,0.13065277777777778,0.05065277777777782,0.050831261342107505,0.004445209845709263,0.0
diffuse,300,20,0.05,12,ins,adjusted,latent_metric,0.07999999999999997,0.02115219907407408,-0.0588478009259259,0.059013418153974005,0.004614583412504782,0.0
diffuse,300,20,0.05,12,wtd,raw,oracle_tail,0.08000000000000004,0.37833333333333335,0.2983333333333333,0.2990014244980312,0.02086512725466911,0.0
