cell,n_trials,tail_q,subsample_rep,ins_raw,ins_floor,ins_adjusted,wtd_raw,wtd_floor,wtd_adjusted,wtd_split,absolute_loss_tail_raw,absolute_loss_tail_crossfit,benchmark,model
mmlu_pro.gpt55,5,0.1,3,0.062400000000000004,0.031456250000000005,0.03094375,0.316,0.15831250000000002,0.15768749999999998,0.08036458333333334,1.0,0.8844531250000001,mmlu_pro,gpt55
mmlu_pro.gpt55,5,0.1,4,0.056799999999999996,0.03390625,0.022893749999999997,0.28,0.1670625,0.11293750000000002,0.07638020833333334,1.0,0.9119270833333333,mmlu_pro,gpt55
mmlu_pro.gpt55,5,0.1,5,0.0608,0.03405625,0.026743749999999997,0.296,0.16687500000000002,0.12912499999999996,0.11028645833333332,1.0,0.905234375,mmlu_pro,gpt55
mmlu_pro.gpt55,5,0.1,6,0.057999999999999996,0.03366875,0.02433125,0.27199999999999996,0.16949999999999998,0.10249999999999998,0.07591145833333333,1.0,0.9027083333333333,mmlu_pro,gpt55
mmlu_pro.gpt55,5,0.1,7,0.0624,0.03328125,0.02911875,0.292,0.1651875,0.1268125,0.07630208333333334,1.0,0.8800520833333333,mmlu_pro,gpt55
mmlu_pro.gpt55,5,0.1,8,0.0592,0.030800000000000004,0.028399999999999998,0.292,0.15556250000000002,0.13643749999999996,0.06382812500000001,1.0,0.896328125,mmlu_pro,gpt55
mmlu_pro.gpt55,5,0.1,9,0.0664,0.03211875,0.03428125,0.3439999999999999,0.15981250000000002,0.1841874999999999,0.13700520833333335,1.0,0.8931510416666667,mmlu_pro,gpt55
mmlu_pro.gpt55,5,0.2,0,0.062000000000000006,0.03051875,0.03148125,0.148,0.0761875,0.07181249999999999,0.04648437500000001,0.856,0.7810416666666666,mmlu_pro,gpt55
mmlu_pro.gpt55,5,0.2,1,0.055600000000000004,0.03203125,0.023568750000000006,0.14200000000000002,0.08196875,0.06003125000000001,0.04139322916666667,0.856,0.7777213541666667,mmlu_pro,gpt55
mmlu_pro.gpt55,5,0.2,2,0.0636,0.033912500000000005,0.0296875,0.144,0.08390624999999999,0.06009375,0.041028645833333335,0.8539999999999999,0.7819791666666667,mmlu_pro,gpt55
mmlu_pro.gpt55,5,0.2,3,0.0632,0.028806250000000002,0.03439375,0.14400000000000002,0.07278125,0.07121875000000001,0.04838541666666667,0.87,0.8159895833333333,mmlu_pro,gpt55
mmlu_pro.gpt55,5,0.2,4,0.056400000000000006,0.02943125,0.026968750000000007,0.13,0.07590625000000001,0.054093749999999996,0.040390625,0.8780000000000001,0.8216796875000001,mmlu_pro,gpt55
mmlu_pro.gpt55,5,0.2,5,0.0604,0.02975625,0.03064375,0.15,0.07100000000000001,0.07899999999999999,0.045625,0.856,0.7899479166666667,mmlu_pro,gpt55
mmlu_pro.gpt55,5,0.2,6,0.054,0.0321875,0.0218125,0.13399999999999998,0.08306250000000001,0.05093749999999997,0.03069010416666667,0.86,0.7953385416666666,mmlu_pro,gpt55
mmlu_pro.gpt55,5,0.2,7,0.056400000000000006,0.033675,0.02272500000000001,0.126,0.08437499999999999,0.04162500000000001,0.010807291666666666,0.8540000000000001,0.7837239583333333,mmlu_pro,gpt55
mmlu_pro.gpt55,5,0.2,8,0.0584,0.030075000000000005,0.028324999999999996,0.11999999999999998,0.0743125,0.04568749999999998,0.024270833333333332,0.862,0.8024218750000001,mmlu_pro,gpt55
